address,company,employment_type,industry,job,requirements,responsibilities,salary,salary_type,seniority,title
,GECO ASIA PTE. LTD.,"Contract, Full Time",Information Technology,Technology Analyst - IT Services (Senior Machine Learning Engineer) in Singapore (90500),"RequirementsOne of our clients is looking for a Technology Analyst - IT Services (Senior Machine Learning Engineer), who is/are able to fulfill the following requirements: Requirements: - At least 4 years of working experience in building production quality and large scale deployment of applications related to machine learning. - Strong programming fundamentals in at least one object oriented programming language (Python, Java, Scala, C++ etc.) - Solid background in algorithms and data structures Mandatory Skills: - Machine Learning modelling, AWS Cloud Services, Good to have skills:  - Programming Languages (C, C++, Java, Python)  Roles and Responsibilities: - To bring cutting edge machine learning models into production together with a multidisciplinary team of data scientist, software development engineers, strategic partners, product managers and subject domain experts. - Responsible for ensuring that ML models and pipelines are deployed successfully into production - Design technical architecture for applications using ML models - Deploy applications to AWS' cloud leveraging on the full spectrum of the AWS cloud services - Automate model training, testing and deployment using Continuous Integration/Continuous Delivery (CI/CD) - Create and implement metrics to verify effectiveness and soundness of the ML model  Please send your application to applicants@geco.asia with (JOB_000305) in Subject line and highlighting: - Your relevant experience - Current/expected salary  - Availability information  - A latest MS-WORD Resume  **We regret that only short-listed applicants will be contacted.** GECO Asia values the data privacy rights of our customers, associates, partners and prospective applicants. We have a privacy policy that governs our collection and use of personal data in place. In conjunction with the new PDPA act in Singapore, we have updated our Privacy Policy and Terms of Use to better clarify our collection and use of your personal information. The same can be found here (https://www.geco.asia/about/privacy-policy) Note: GECO Asia is a German IT Services company and provides specialist IT resources on project and permanent basis. We operate under a Comprehensive Licence offered by MOM Singapore. [GECO Asia Pte Ltd, Licence No. 07C4453] [2 Venture Drive, #10-18, Vision Exchange, Singapore 608526]",Roles & ResponsibilitiesJob Summary: Jole: Special / Technology Analyst - IT Services (Senior Machine Learning Engineer) in Singapore Start: ASAP Duration: 6 Months Location: Singapore,"$5,500to$8,500",Monthly,Professional,machine learning engineer
,DBS BANK LTD.,"Permanent, Full Time",Banking and Finance,"VP / AVP, Machine Learning Engineer, Group Consumer Banking and Big Data Analytics Tech (180003YE)","Requirements PhD/Masters/Bachelors in Computer Science, Computer Engineering, Statistics, Applied Mathematics, or related disciplines.  Excellent understanding of software engineering principles and design patterns. Excellent programming skills in either Python, Scala, or Java. In-depth understanding of data science and machine learning technologies and methodologies. Good working knowledge of high performance computing, parallel data processing, and big data stack, e.g. Spark and Hadoop/Yarn. Experience to one or more commercial / open source data warehouses or data analytics systems, e.g. Teradata, is a big plus. Experience to one or more NoSQL databases is a big plus. Hands-on experience in Cloud platforms, e.g. AWS, or containerization/ virtualization platforms, e.g. Docker/Kubernetes, is a big plus. Experience to any data science or machine learning platform, e.g. IBM Data Science Experience or Cloudera Data Science Workbench, is a big plus. Exposure to mainframe system is a plus. Passion about machine learning and data-driven intelligence system. Excellent communication and presentation skills in English. Team player, self-starter, ability to work on multiple projects in parallel is necessary. 2+ years of experience in machine learning system or data science research 5+ years of experience in software engineering or DevOps automation or data engineering Experience working in multi-cultural environments ","Roles & ResponsibilitiesJob Purpose    Build and improve machine learning and analytics platform. Work with data scientists to create, optimize and productionize of machine learning models for various business units within the organization. Keep innovating and optimizing data and machine learning workflow to enable data-driven business activities at large scale.    Responsibilities   Build and improve machine learning and analytics platform.       Apply cutting edge technologies and tool chain in big data and machine learning to build machine learning and analytics platform. Keep innovating and optimizing the machine learning workflow, from data exploration, model experimentation/prototyping to production. Provide engineering solution and framework to support machine learning and data-driven business activities at large scale. Perform R&D on new technologies and solutions to improve accessibility, scalability, efficiency and us abilities of machine learning and analytics platform.     Work with data scientists to build end-to-end machine learning and analytics solution to solve business challenges.       Turn advanced machine learning models created by data scientists into end-to-end production grade system. Build analytics platform components to support data collection, exploratory, and integration from various sources being data API, RDBMS, or big data platform. Optimize efficiency of machine learning algorithm by applying state-of-the-art technologies, i.e. distributed computing, concurrent programming, or GPU parallel computing.      Establish, apply and maintain best practices and principles of machine learning engineering.       Study and evaluate the state of the art technologies, tools, and frameworks of machine learning engineering. Contribute in creation of blueprint and reference architecture for various machine learning use cases. Support the organization in transformation towards a data driven business culture.     Work Relationships  Internal        Work closely with data scientists, business team, and project managers to provide machine learning and data-driven business solution.  Collaborate with other technology teams to build platform and framework to enable machine learning and data analytics activities at large scale     External        Maintain engineering principles and best practices of machine learning framework and technologies.   ","$7,000to$14,000",Monthly,"Middle Management, Manager",machine learning engineer
"SHENTON HOUSE, 3 SHENTON WAY 068805",TECHCOM SOLUTIONS & CONSULTANCY PTE. LTD.,"Contract, Full Time","Banking and Finance, Information Technology",Techonology Analyst (Machine Learning Engineer),"Requirements To bring cutting edge machine learning models into production together with a multidisciplinary team of data scientist, software development engineers, strategic partners, product managers and subject domain experts. 4 years of working experience in building production quality and large scale deployment of applications related to machine learning. Responsible for ensuring that ML models and pipelines are deployed successfully into production Design technical architecture for applications using ML models Deploy applications to AWS' cloud leveraging on the full spectrum of the AWS cloud services Automate model training, testing and deployment using Continuous Integration/Continuous Delivery (CI/CD) Create and implement metrics to verify effectiveness and soundness of the ML model Strong programming fundamentals in at least one object oriented programming language (Python, Java, Scala, C++ etc.) Solid background in algorithms and data structures  Mandatory Skills:  Machine learning modelling, AWS cloud services Programming languages (C, C++, Java, Python)   ","Roles & Responsibilities To bring cutting edge machine learning models into production together with a multidisciplinary team of data scientist, software development engineers, strategic partners, product managers and subject domain experts. At least 4 years of working experience in building production quality and large scale deployment of applications related to machine learning. Responsible for ensuring that ML models and pipelines are deployed successfully into production Design technical architecture for applications using ML models Deploy applications to AWS' cloud leveraging on the full spectrum of the AWS cloud services Automate model training, testing and deployment using Continuous Integration/Continuous Delivery (CI/CD) Create and implement metrics to verify effectiveness and soundness of the ML model Strong programming fundamentals in at least one object oriented programming language (Python, Java, Scala, C++ etc.) Solid background in algorithms and data structures  Mandatory Skills:  Machine learning modelling, AWS cloud services, Programming languages (C, C++, Java, Python)   ","$5,500to$7,000",Monthly,Middle Management,machine learning engineer
"SHENTON HOUSE, 3 SHENTON WAY 068805",TECHCOM SOLUTIONS ASIA PACIFIC PTE. LTD.,"Contract, Full Time",Information Technology,Senior Machine Learning Engineer,"Requirements At least 4 years of working experience in building production quality and large scale deployment of applications related to machine learning. Responsible for ensuring that ML models and pipelines are deployed successfully into production Design technical architecture for applications using ML models Deploy applications to AWS' cloud leveraging on the full spectrum of the AWS cloud services Automate model training, testing and deployment using Continuous Integration/Continuous Delivery (CI/CD) Create and implement metrics to verify effectiveness and soundness of the ML model Strong programming fundamentals in at least one object oriented programming language (Python, Java, Scala, C++ etc.) Solid background in algorithms and data structures ","Roles & ResponsibilitiesTo bring cutting edge machine learning models into production together with a multidisciplinary team of data scientist, software development engineers, strategic partners, product managers and subject domain experts.","$5,500to$7,500",Monthly,Professional,machine learning engineer
"SHAW TOWERS, 100 BEACH ROAD 189702",PEOPLE PROFILERS PTE. LTD.,Permanent,Information Technology,"Machine Learning Engineer (AI / Python, Java)","RequirementsRequirements:  Master’s degree in Computer Science, Data Analytics or similar At least 3 years related work experience Previous experience in deep learning/machine learning/AI Very familiar with Python & Java, & Linux architecture  Interested applicants may wish to email your resume in a detailed Word format to ruth.gan@peopleprofilers.com. Please include last drawn and expected salaries and notice period. We regret that only shortlisted candidates will be notified.   Gan Huiru  Recruitment Consultant  Tel: +65 6594 9897 Fax +65 6835 7890  Address: 100 Beach Road #33-06 Shaw Tower Singapore 189702 Email: ruth.gan@peopleprofilers.com EA License Number: 02C4944 Registration Number: R1768917",Roles & Responsibilities Fast expanding company  Work with cutting edge technologies Central location Competitive salary based on experience  Role:  Developing scalable processes for large-scale data analysis and model development Apply machine learning to model complex business trends Project management Guide junior members Keep up to date with new technologies ,"$5,000to$9,000",Monthly,Senior Executive,machine learning engineer
"SUNTEC TOWER THREE, 8 TEMASEK BOULEVARD 038988",ACRONIS ASIA RESEARCH AND DEVELOPMENT PTE. LTD.,Full Time,Information Technology,Machine Learning Engineer,"Requirements 3+ years of Python programming experience 1+ years of production-grade machine learning engineering experience with Tensorflow/Pytorch Exposure to machine learning services from cloud providers like AWS, Google Cloud, and Azure Background in algorithms, data structures, distributed systems, security, and cryptography Proven analytical and communication skills ","Roles & ResponsibilitiesWe are currently looking for a Machine Learning Engineer, a builder with a strong desire to apply machine learning to problems in areas ranging from analytics to security.   You will work on  Collecting and manipulating large data sets Developing, training, and evaluating machine learning models Bringing ML-based solutions to our customers by collaborating with the product engineering team ","$5,000to$7,000",Monthly,Executive,machine learning engineer
"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",SMARTSOFT PTE. LTD.,Full Time,Information Technology,Machine Learning Artificial Intelligence Engineer,"Requirements Good understanding about supervised and unsupervised learning algorithms. Generate and test working Hypothesis. Mandatory coding experience in Python Experience working with modern Deep Learning techniques, framework and applications. Experience in DL framework (e.g Caffe, Tourch, Tensorflow). Exposure to GPU technology and CUDA programming 2+ year experience in Algorithms, statistical analysis, computational NLP and/or machine learning. Strong teamwork and interpersonal skills.  Action oriented with strong analytical and problem solving skill","Roles & Responsibilities Use machine learning and analytical techniques to build prediction models for different use cases. Design, develop and test advanced models for predictive behavior. Co-operate with software engineering teams to drive real-time model implementations and new feature creations. Design efficient, scalable, automated processes for large scale data analyses, model development, model validation and model implementation Research and evaluate pioneering machine learning and statistical model Requirement   ","$4,000to$8,500",Monthly,Middle Management,machine learning engineer
"TRIPLEONE SOMERSET, 111 SOMERSET ROAD 238164",PROPERTYGURU PTE. LTD.,"Permanent, Full Time","Engineering, Information Technology",Machine Learning Engineer,"Requirements Bachelor’s degree in IT or relevant field. Alternatively, lesser qualifications with strong experience in machine learning will also be considered 2+ years of industry experience in building and productionizing end to end machine learning platforms Good engineering and coding skills with the ability to write high performance quality code Good understanding of common machine learning (Scikit-Learn) and deep learning frameworks (Pytorch, Tensorflow, Keras, etc.) Good understanding of common families of models, feature engineering, feature selection and other practical machine learning issues Experience in Python is a must. Other equivalent languages like C++, Java, Go, Scala is a plus Awareness of various cloud-based solutions such as AWS Sagemaker, Google CloudML, or Azure Batch AI will be an advantage ","Roles & ResponsibilitiesOur websites attract more than 100 million monthly page-views which results in non-stop massive click-stream for behaviour data with around 130 million users. We also have the most comprehensive data for property supply and demand in Southeast Asia. The data science team is empowered to build unique and compelling user experiences using machine learning. Our Machine Learning Engineers are expected to be multi lingual as they will need to seamlessly move from being a data scientist to a software engineer. The responsibility of a Machine Learning Engineer will be to quickly explore the upcoming technologies to help develop a streamlined approach to implement and deploy the models.   Responsibilities: Your work will be to develop, support and maintain the end-to-end platform which will allow us to develop and deploy various machine learning models into the PropertyGuru websites and apps with ease. To do this, you will be:  Learning and exploring new developments in machine learning / deep learning frameworks to develop and improve our model deployment pipelines Developing innovative approaches to automated (re) training and (re) deployment of the model  Some applications that the data teams support are as follows:  Clustering of users and listing to enable intelligent marketing strategies Image classification and segmentation to improve user experience Real-time recommendation engines to suggest appropriate listings to the users Natural Language Processing (NLP) to understand the text Search ranking models ","$7,000to$9,000",Monthly,Professional,machine learning engineer
"SPORE BUSINESS FEDERATION CTR, 160 ROBINSON ROAD 068914",LEADIQ SINGAPORE PTE. LTD.,Permanent,"Information Technology, Sciences / Laboratory / R&D",Software Engineer in Machine Learning,"RequirementsIf you join LeadIQ, you will learn a lot: In terms of technical ability there are many cool tools, technologies, patterns and other great developers that will sharpen your skills. Personally you be given the chance to step up, lead and make your mark in a growing startup as we tackle the challenges in our next phase of growth. On the technical front, we need you skilled in:  Analyze source data and data flows, working with structured and unstructured data Manipulate high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends Apply AI/Machine Learning technology to solve real-world problems Communicate and present models to customers and product team Coordinating with fellow engineering team to make product features that our customers will love to use At least one functional language. We're using Scala (or experience in e.g. Haskell or Clojure). You'll write Scala code to create APIs to access ML models. Python language. Our ML models are built with open source libraries that mostly use Python. Concurrency (futures, actors, basic understanding of threads). ","Roles & ResponsibilitiesAre you the type of engineer who punches juke boxes to make the music start? Do you consider riding your motorcycle off into the a sunset a personal hobby? Is architecting a system from the ground up no big deal to you? We're looking for full-time software engineer to make this happen. The Product We are on a mission to revolutionize Sales industry using data science. Our product helps our customers to collect and enrich their target prospects. Our internal data processing combines human intelligence and data science to enable our customers to find perfect contact information and save to their existing platforms like Salesforce, etc. The Challenge  We are at an exciting stage in our growth. We are getting traction with big customers, scaling out, and solving increasingly complex engineering problems. Our systems are mostly written in Scala. We have used Kafka as backbone to communicate between our API server and micro-services. Smart architecture design is crucial in order to guarantee our micro-services based systems run smoothly and reliably.  We have very complex integrations with 3rd parties systems like Salesforce, Gmail and etc. These integrations are core to what we're offering to our customers. This position will involve the development and deployment of machine learning technology in areas such as email signature extraction, account recommendation, company domain searching, natural language processing etc.  This position will involve collecting training and test data set using DB scripts or Spark scripts. This position will involve writing APIs for clients to utilize your trained models.  The Stack Scala, Python, Keras, Kafka, Spark, MongoDB, ElasticSearch, Hyperledger, Docker The Team We want team members with attributes like: - Focus on delivering value to the customer  - Strong belief in collaboration  - Passion that drives you to execute and innovate  - Ability to self-manage and take ownership of a feature  - Ability to juggle many projects and responsibilities - Extremely entrepreneurial and self-driven - Not afraid of a steep learning curve  - Passionate about building a big business that transforms the sales industry - Exceptional at writing scalable, production-ready code - Thrive in a fast-paced environment - Avoid over-engineering  - Simple designs and fast execution  - Discipline in following process and documenting your work These personality traits define the culture we are building and are more important to us than a particular set of technical skills. The Responsibilities If you join LeadIQ, you will learn a lot: In terms of technical ability there are many cool tools, technologies, patterns and other great developers that will sharpen your skills. Personally you be given the chance to step up, lead and make your mark in a growing startup as we tackle the challenges in our next phase of growth. On the technical front, we need you skilled in:  Analyze source data and data flows, working with structured and unstructured data Manipulate high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends Apply AI/Machine Learning technology to solve real-world problems Communicate and present models to customers and product team Coordinating with fellow engineering team to make product features that our customers will love to use At least one functional language. We're using Scala (or experience in e.g. Haskell or Clojure). You'll write Scala code to create APIs to access ML models. Python language. Our ML models are built with open source libraries that mostly use Python. Concurrency (futures, actors, basic understanding of threads).  Basic Qualifications  Master’s degree in Computer Science, Computer Engineering, Statistics, Economics, Mathematics or Physics or related field 2+ years of experience with Machine Learning techniques and tools to include one or more of the following: classification, clustering, regression or neural networks  Preferred Qualifications  1+ years of experience with Spark, Kafka, or Elastic Search 2+ years of experience of functional programming with Scala, Haskell or Clojure Demonstrated ability in the application of Machine Learning/AI in real-world industrial settings with large scale data Experience with Agile software development Strong oral, written and interpersonal communication skills and an ability to work in a team environment Comfortable working in an environment where problems are not always well-defined   So if you feel like you're a good fit for us, drop us a line! We love meeting developers who are excited by our product!","$5,000to$7,500",Monthly,Professional,machine learning engineer
,,,,,,,,,,machine learning engineer
